,file,unique_albums
215,regional-us-weekly-2018-01-05--2018-01-12.csv,115
216,regional-us-weekly-2018-01-05--2018-01-12.csv,148
217,regional-us-weekly-2018-01-12--2018-01-19.csv,44
218,regional-us-weekly-2018-01-12--2018-01-19.csv,78
219,regional-us-weekly-2018-01-12--2018-01-19.csv,112
220,regional-us-weekly-2018-01-12--2018-01-19.csv,146
221,regional-us-weekly-2018-01-19--2018-01-26.csv,43
222,regional-us-weekly-2018-01-19--2018-01-26.csv,80
223,regional-us-weekly-2018-01-19--2018-01-26.csv,116
224,regional-us-weekly-2018-01-19--2018-01-26.csv,153
225,regional-us-weekly-2018-01-26--2018-02-02.csv,35
226,regional-us-weekly-2018-01-26--2018-02-02.csv,67
227,regional-us-weekly-2018-01-26--2018-02-02.csv,102
228,regional-us-weekly-2018-01-26--2018-02-02.csv,137
229,regional-us-weekly-2018-02-02--2018-02-09.csv,39
230,regional-us-weekly-2018-02-02--2018-02-09.csv,75
231,regional-us-weekly-2018-02-02--2018-02-09.csv,110
232,regional-us-weekly-2018-02-02--2018-02-09.csv,143
233,regional-us-weekly-2018-02-09--2018-02-16.csv,36
234,regional-us-weekly-2018-02-09--2018-02-16.csv,72
235,regional-us-weekly-2018-02-09--2018-02-16.csv,109
236,regional-us-weekly-2018-02-09--2018-02-16.csv,147
237,regional-us-weekly-2018-02-16--2018-02-23.csv,39
238,regional-us-weekly-2018-02-16--2018-02-23.csv,72
239,regional-us-weekly-2018-02-16--2018-02-23.csv,111
240,regional-us-weekly-2018-02-16--2018-02-23.csv,148
241,regional-us-weekly-2018-02-23--2018-03-02.csv,39
242,regional-us-weekly-2018-02-23--2018-03-02.csv,73
243,regional-us-weekly-2018-02-23--2018-03-02.csv,110
244,regional-us-weekly-2018-02-23--2018-03-02.csv,144
245,regional-us-weekly-2018-03-02--2018-03-09.csv,42
246,regional-us-weekly-2018-03-02--2018-03-09.csv,77
247,regional-us-weekly-2018-03-02--2018-03-09.csv,115
248,regional-us-weekly-2018-03-02--2018-03-09.csv,150
249,regional-us-weekly-2018-03-09--2018-03-16.csv,35
250,regional-us-weekly-2018-03-09--2018-03-16.csv,67
251,regional-us-weekly-2018-03-09--2018-03-16.csv,102
252,regional-us-weekly-2018-03-09--2018-03-16.csv,140
253,regional-us-weekly-2018-03-16--2018-03-23.csv,33
254,regional-us-weekly-2018-03-16--2018-03-23.csv,64
255,regional-us-weekly-2018-03-16--2018-03-23.csv,93
256,regional-us-weekly-2018-03-16--2018-03-23.csv,137
257,regional-us-weekly-2018-03-23--2018-03-30.csv,40
258,regional-us-weekly-2018-03-23--2018-03-30.csv,76
259,regional-us-weekly-2018-03-23--2018-03-30.csv,108
260,regional-us-weekly-2018-03-23--2018-03-30.csv,142
261,regional-us-weekly-2018-03-30--2018-04-06.csv,37
262,regional-us-weekly-2018-03-30--2018-04-06.csv,73
263,regional-us-weekly-2018-03-30--2018-04-06.csv,105
264,regional-us-weekly-2018-03-30--2018-04-06.csv,143
265,regional-us-weekly-2018-04-06--2018-04-13.csv,30
266,regional-us-weekly-2018-04-06--2018-04-13.csv,66
267,regional-us-weekly-2018-04-06--2018-04-13.csv,100
268,regional-us-weekly-2018-04-06--2018-04-13.csv,137
269,regional-us-weekly-2018-04-13--2018-04-20.csv,37
270,regional-us-weekly-2018-04-13--2018-04-20.csv,70
271,regional-us-weekly-2018-04-13--2018-04-20.csv,105
272,regional-us-weekly-2018-04-13--2018-04-20.csv,144
273,regional-us-weekly-2018-04-20--2018-04-27.csv,34
274,regional-us-weekly-2018-04-20--2018-04-27.csv,67
275,regional-us-weekly-2018-04-20--2018-04-27.csv,102
276,regional-us-weekly-2018-04-20--2018-04-27.csv,137
277,regional-us-weekly-2018-04-27--2018-05-04.csv,26
278,regional-us-weekly-2018-04-27--2018-05-04.csv,56
279,regional-us-weekly-2018-04-27--2018-05-04.csv,94
280,regional-us-weekly-2018-04-27--2018-05-04.csv,127
281,regional-us-weekly-2018-05-04--2018-05-11.csv,29
282,regional-us-weekly-2018-05-04--2018-05-11.csv,60
283,regional-us-weekly-2018-05-04--2018-05-11.csv,96
284,regional-us-weekly-2018-05-04--2018-05-11.csv,130
285,regional-us-weekly-2018-05-11--2018-05-18.csv,32
286,regional-us-weekly-2018-05-11--2018-05-18.csv,66
287,regional-us-weekly-2018-05-11--2018-05-18.csv,96
288,regional-us-weekly-2018-05-11--2018-05-18.csv,128
289,regional-us-weekly-2018-05-18--2018-05-25.csv,36
290,regional-us-weekly-2018-05-18--2018-05-25.csv,65
291,regional-us-weekly-2018-05-18--2018-05-25.csv,96
292,regional-us-weekly-2018-05-18--2018-05-25.csv,126
293,regional-us-weekly-2018-05-25--2018-06-01.csv,38
294,regional-us-weekly-2018-05-25--2018-06-01.csv,62
295,regional-us-weekly-2018-05-25--2018-06-01.csv,90
296,regional-us-weekly-2018-05-25--2018-06-01.csv,117
297,regional-us-weekly-2018-06-01--2018-06-08.csv,35
298,regional-us-weekly-2018-06-01--2018-06-08.csv,68
299,regional-us-weekly-2018-06-01--2018-06-08.csv,99
300,regional-us-weekly-2018-06-01--2018-06-08.csv,133
301,regional-us-weekly-2018-06-08--2018-06-15.csv,33
302,regional-us-weekly-2018-06-08--2018-06-15.csv,65
303,regional-us-weekly-2018-06-08--2018-06-15.csv,98
304,regional-us-weekly-2018-06-08--2018-06-15.csv,129
305,regional-us-weekly-2018-06-15--2018-06-22.csv,37
306,regional-us-weekly-2018-06-15--2018-06-22.csv,67
307,regional-us-weekly-2018-06-15--2018-06-22.csv,94
308,regional-us-weekly-2018-06-15--2018-06-22.csv,120
309,regional-us-weekly-2018-06-22--2018-06-29.csv,38
310,regional-us-weekly-2018-06-22--2018-06-29.csv,69
311,regional-us-weekly-2018-06-22--2018-06-29.csv,98
312,regional-us-weekly-2018-06-22--2018-06-29.csv,122
313,regional-us-weekly-2018-06-29--2018-07-06.csv,19
314,regional-us-weekly-2018-06-29--2018-07-06.csv,55
315,regional-us-weekly-2018-06-29--2018-07-06.csv,91
316,regional-us-weekly-2018-06-29--2018-07-06.csv,121
317,regional-us-weekly-2018-07-06--2018-07-13.csv,23
318,regional-us-weekly-2018-07-06--2018-07-13.csv,59
319,regional-us-weekly-2018-07-06--2018-07-13.csv,88
320,regional-us-weekly-2018-07-06--2018-07-13.csv,117
321,regional-us-weekly-2018-07-13--2018-07-20.csv,31
322,regional-us-weekly-2018-07-13--2018-07-20.csv,64
323,regional-us-weekly-2018-07-13--2018-07-20.csv,92
324,regional-us-weekly-2018-07-13--2018-07-20.csv,121
325,regional-us-weekly-2018-07-20--2018-07-27.csv,36
326,regional-us-weekly-2018-07-20--2018-07-27.csv,71
327,regional-us-weekly-2018-07-20--2018-07-27.csv,100
328,regional-us-weekly-2018-07-20--2018-07-27.csv,130
329,regional-us-weekly-2018-07-27--2018-08-03.csv,35
330,regional-us-weekly-2018-07-27--2018-08-03.csv,72
331,regional-us-weekly-2018-07-27--2018-08-03.csv,107
332,regional-us-weekly-2018-07-27--2018-08-03.csv,137
333,regional-us-weekly-2018-08-03--2018-08-10.csv,22
334,regional-us-weekly-2018-08-03--2018-08-10.csv,62
335,regional-us-weekly-2018-08-03--2018-08-10.csv,94
336,regional-us-weekly-2018-08-03--2018-08-10.csv,122
337,regional-us-weekly-2018-08-10--2018-08-17.csv,28
338,regional-us-weekly-2018-08-10--2018-08-17.csv,54
339,regional-us-weekly-2018-08-10--2018-08-17.csv,88
340,regional-us-weekly-2018-08-10--2018-08-17.csv,119
341,regional-us-weekly-2018-08-17--2018-08-24.csv,27
342,regional-us-weekly-2018-08-17--2018-08-24.csv,56
343,regional-us-weekly-2018-08-17--2018-08-24.csv,87
344,regional-us-weekly-2018-08-17--2018-08-24.csv,121
345,regional-us-weekly-2018-08-24--2018-08-31.csv,30
346,regional-us-weekly-2018-08-24--2018-08-31.csv,65
347,regional-us-weekly-2018-08-24--2018-08-31.csv,97
348,regional-us-weekly-2018-08-24--2018-08-31.csv,121
349,regional-us-weekly-2018-08-31--2018-09-07.csv,25
350,regional-us-weekly-2018-08-31--2018-09-07.csv,61
351,regional-us-weekly-2018-08-31--2018-09-07.csv,94
352,regional-us-weekly-2018-08-31--2018-09-07.csv,123
353,regional-us-weekly-2018-09-07--2018-09-14.csv,28
354,regional-us-weekly-2018-09-07--2018-09-14.csv,63
355,regional-us-weekly-2018-09-07--2018-09-14.csv,96
356,regional-us-weekly-2018-09-07--2018-09-14.csv,123
357,regional-us-weekly-2018-09-14--2018-09-21.csv,34
358,regional-us-weekly-2018-09-14--2018-09-21.csv,69
359,regional-us-weekly-2018-09-14--2018-09-21.csv,98
360,regional-us-weekly-2018-09-14--2018-09-21.csv,127
361,regional-us-weekly-2018-09-21--2018-09-28.csv,35
362,regional-us-weekly-2018-09-21--2018-09-28.csv,72
363,regional-us-weekly-2018-09-21--2018-09-28.csv,106
364,regional-us-weekly-2018-09-21--2018-09-28.csv,138
365,regional-us-weekly-2018-09-28--2018-10-05.csv,27
366,regional-us-weekly-2018-09-28--2018-10-05.csv,54
367,regional-us-weekly-2018-09-28--2018-10-05.csv,88
368,regional-us-weekly-2018-09-28--2018-10-05.csv,120
369,regional-us-weekly-2018-10-05--2018-10-12.csv,34
370,regional-us-weekly-2018-10-05--2018-10-12.csv,62
371,regional-us-weekly-2018-10-05--2018-10-12.csv,88
372,regional-us-weekly-2018-10-05--2018-10-12.csv,118
373,regional-us-weekly-2018-10-12--2018-10-19.csv,36
374,regional-us-weekly-2018-10-12--2018-10-19.csv,68
375,regional-us-weekly-2018-10-12--2018-10-19.csv,96
376,regional-us-weekly-2018-10-12--2018-10-19.csv,131
377,regional-us-weekly-2018-10-19--2018-10-26.csv,37
378,regional-us-weekly-2018-10-19--2018-10-26.csv,64
379,regional-us-weekly-2018-10-19--2018-10-26.csv,94
380,regional-us-weekly-2018-10-19--2018-10-26.csv,127
381,regional-us-weekly-2018-10-26--2018-11-02.csv,39
382,regional-us-weekly-2018-10-26--2018-11-02.csv,71
383,regional-us-weekly-2018-10-26--2018-11-02.csv,103
384,regional-us-weekly-2018-10-26--2018-11-02.csv,136
385,regional-us-weekly-2018-11-02--2018-11-09.csv,39
386,regional-us-weekly-2018-11-02--2018-11-09.csv,67
387,regional-us-weekly-2018-11-02--2018-11-09.csv,103
388,regional-us-weekly-2018-11-02--2018-11-09.csv,136
389,regional-us-weekly-2018-11-09--2018-11-16.csv,40
390,regional-us-weekly-2018-11-09--2018-11-16.csv,68
391,regional-us-weekly-2018-11-09--2018-11-16.csv,99
392,regional-us-weekly-2018-11-09--2018-11-16.csv,130
393,regional-us-weekly-2018-11-16--2018-11-23.csv,42
394,regional-us-weekly-2018-11-16--2018-11-23.csv,73
395,regional-us-weekly-2018-11-16--2018-11-23.csv,114
